Date,Department,Project,Cost Center,Manager,Budget (USD),Actual Spend (USD),Variance (USD),Performance Score,Headcount,ROI (%)
01/14/2024,Infrastructure,Data Warehouse,IT1005,Carol White,73408,219334,-145926,2.8,9,0.22
05/21/2024,Infrastructure,Develop CRM,IT1002,Carol White,106358,141638,-35280,4.9,20,0.47
11/06/2024,Infrastructure,Cloud Migration,IT1003,Alice Smith,116197,114591,1606,7.7,6,0.69
02/12/2024,Infrastructure,Develop CRM,IT1005,Bob Johnson,240920,111088,129832,1.8,30,0.59
04/02/2024,Infrastructure,Data Warehouse,IT1003,Eva Green,235388,144188,91200,7,17,0.33
05/16/2024,Infrastructure,Data Warehouse,IT1002,Bob Johnson,194989,414724,-219735,7.1,29,0.2
01/31/2024,Infrastructure,Data Warehouse,IT1005,Bob Johnson,419360,443497,-24137,7.5,6,0.77
02/25/2024,Infrastructure,Develop CRM,IT1005,David Brown,401181,397226,3955,3.1,29,0.21
12/02/2024,Infrastructure,Develop CRM,IT1005,Carol White,149977,96683,53294,3.3,44,0.48
09/17/2024,Infrastructure,Data Warehouse,IT1001,Alice Smith,489529,497994,-8465,5.5,19,0.93
12/27/2024,Infrastructure,Security Audit,IT1004,Eva Green,381310,396242,-14932,7.8,14,0.83
05/27/2024,Infrastructure,Customer Support Portal,IT1001,Carol White,147406,298071,-150665,4.7,34,0.99
10/28/2024,Infrastructure,Cloud Migration,IT1002,Carol White,490437,440751,49686,9.8,49,-0.11
06/24/2024,Infrastructure,Data Warehouse,IT1004,Alice Smith,53453,378647,-325194,9.4,39,0.29
07/15/2024,Infrastructure,Cloud Migration,IT1005,Alice Smith,152811,439777,-286966,3.7,3,0.14
02/02/2024,Infrastructure,Upgrade Network,IT1002,David Brown,224442,178419,46023,7.2,39,-0.1
05/09/2024,Infrastructure,Upgrade Network,IT1005,David Brown,99170,322348,-223178,7.6,42,1
11/20/2024,Infrastructure,Cloud Migration,IT1001,Eva Green,320784,312796,7988,3.8,18,0
04/06/2024,Infrastructure,Data Warehouse,IT1001,David Brown,448834,431716,17118,7.7,15,0.89
08/30/2024,Infrastructure,Data Warehouse,IT1002,Bob Johnson,252160,407216,-155056,8.6,49,0.14
05/05/2024,Infrastructure,Customer Support Portal,IT1004,Alice Smith,134607,160091,-25484,5.4,42,0.38
05/21/2024,Infrastructure,Upgrade Network,IT1001,David Brown,50192,478029,-427837,4,49,0.14
01/13/2024,Infrastructure,Customer Support Portal,IT1001,Carol White,89082,340164,-251082,2.1,40,0.43
09/28/2024,Infrastructure,Cloud Migration,IT1004,Eva Green,86468,122659,-36191,4,31,0.76
03/20/2024,Infrastructure,Data Warehouse,IT1002,Eva Green,299664,492974,-193310,3.3,3,0.08
08/26/2024,Infrastructure,Upgrade Network,IT1003,Eva Green,158117,155289,2828,1.5,17,0.65
05/15/2024,Infrastructure,Upgrade Network,IT1004,Alice Smith,326815,323028,3787,7.5,49,0.38
01/05/2024,Infrastructure,Upgrade Network,IT1005,Eva Green,101717,227069,-125352,1.4,27,0.03
04/26/2024,Infrastructure,Security Audit,IT1005,Bob Johnson,52763,32222,20541,9.7,30,0.3
12/25/2024,Infrastructure,Security Audit,IT1004,Alice Smith,168094,173804,-5710,9.5,2,0.92
05/07/2024,Infrastructure,Develop CRM,IT1002,Carol White,277443,89420,188023,8,27,0.74
07/23/2024,Infrastructure,Customer Support Portal,IT1003,Alice Smith,61064,65504,-4440,4.5,19,-0.18
04/02/2024,Infrastructure,Develop CRM,IT1004,David Brown,126848,42462,84386,2.3,10,0.19
05/24/2024,Infrastructure,Data Warehouse,IT1004,Carol White,439763,201215,238548,4.8,3,0.83
01/10/2024,Infrastructure,Develop CRM,IT1002,Alice Smith,467339,390353,76986,2.8,23,0.03
07/02/2024,Infrastructure,Data Warehouse,IT1002,Alice Smith,400067,377283,22784,8.4,24,0.03
08/02/2024,Infrastructure,Data Warehouse,IT1001,Eva Green,442670,45368,397302,4.8,6,0.12
09/05/2024,Infrastructure,Security Audit,IT1002,Eva Green,118842,266863,-148021,3.9,36,0.93
10/14/2024,Infrastructure,Security Audit,IT1003,Alice Smith,459849,181355,278494,9.4,36,-0.15
07/19/2024,Infrastructure,Security Audit,IT1005,David Brown,213244,275052,-61808,4.1,22,0.08
12/08/2024,Infrastructure,Data Warehouse,IT1004,Bob Johnson,151158,182656,-31498,4.4,6,0.76
05/01/2024,Infrastructure,Develop CRM,IT1004,David Brown,323721,378422,-54701,6.6,46,0.82
01/11/2024,Infrastructure,Customer Support Portal,IT1004,David Brown,84693,150206,-65513,5.6,2,0.05
04/01/2024,Infrastructure,Develop CRM,IT1002,Carol White,95913,86143,9770,9.9,13,0.18
07/04/2024,Infrastructure,Data Warehouse,IT1004,Alice Smith,247097,184771,62326,3.2,6,0.31
01/03/2024,Infrastructure,Cloud Migration,IT1003,Carol White,137796,496713,-358917,9.9,23,0.94
01/03/2024,Infrastructure,Upgrade Network,IT1004,Alice Smith,134811,126385,8426,4.1,4,0.4
12/13/2024,Infrastructure,Cloud Migration,IT1003,David Brown,89178,280951,-191773,8.4,25,0.61
10/18/2024,Infrastructure,Data Warehouse,IT1004,David Brown,494943,240462,254481,8.4,34,0.48
04/02/2024,Infrastructure,Customer Support Portal,IT1001,Bob Johnson,350856,99550,251306,3.8,25,-0.04
09/04/2024,Infrastructure,Customer Support Portal,IT1004,Bob Johnson,221244,255702,-34458,3.1,17,0.86
02/09/2024,Infrastructure,Upgrade Network,IT1003,Bob Johnson,56859,176950,-120091,3.6,43,0.34
04/22/2024,Infrastructure,Cloud Migration,IT1001,Bob Johnson,57485,17877,39608,3.9,14,0.16
11/10/2024,Infrastructure,Customer Support Portal,IT1001,Carol White,459983,340228,119755,2.1,37,0.23
09/07/2024,Infrastructure,Security Audit,IT1005,Eva Green,471669,476108,-4439,2.1,23,0.37
05/08/2024,Infrastructure,Upgrade Network,IT1001,Alice Smith,143405,307612,-164207,1.7,19,0.32
08/20/2024,Infrastructure,Cloud Migration,IT1005,Alice Smith,334732,402310,-67578,9.6,8,0.7
04/11/2024,Infrastructure,Data Warehouse,IT1005,Alice Smith,178585,467189,-288604,2.8,34,-0.01
10/18/2024,Infrastructure,Cloud Migration,IT1004,Bob Johnson,424743,286367,138376,7.2,15,0.5
04/01/2024,Infrastructure,Customer Support Portal,IT1002,Eva Green,75939,387768,-311829,2.5,30,0.6
03/17/2024,Infrastructure,Security Audit,IT1003,Alice Smith,476673,344082,132591,9.5,7,0.84
02/09/2024,Infrastructure,Develop CRM,IT1002,Carol White,175829,99807,76022,7.9,38,-0.11
04/21/2024,Infrastructure,Security Audit,IT1001,David Brown,225607,423685,-198078,4.1,11,0.95
10/30/2024,Infrastructure,Customer Support Portal,IT1002,Carol White,324535,336870,-12335,9.3,28,0.98
06/23/2024,Infrastructure,Customer Support Portal,IT1003,Bob Johnson,472117,286732,185385,6.6,27,-0.02
05/23/2024,Infrastructure,Customer Support Portal,IT1001,Eva Green,154927,408632,-253705,3.7,18,-0.02
08/07/2024,Infrastructure,Upgrade Network,IT1005,Alice Smith,227826,125166,102660,8.4,28,0.05
12/05/2024,Infrastructure,Upgrade Network,IT1001,Carol White,307438,411357,-103919,1.8,46,0.4
09/21/2024,Infrastructure,Develop CRM,IT1005,Carol White,476903,429725,47178,1.1,15,0.02
12/09/2024,Infrastructure,Security Audit,IT1003,Eva Green,408606,409149,-543,2.5,32,0.4
03/28/2024,Infrastructure,Cloud Migration,IT1002,Carol White,304466,148297,156169,9,15,0.69
02/23/2024,Infrastructure,Security Audit,IT1002,Carol White,136724,78346,58378,5.8,37,0.72
09/27/2024,Infrastructure,Cloud Migration,IT1005,Alice Smith,279204,152138,127066,2.8,49,0.32
12/30/2024,Infrastructure,Upgrade Network,IT1002,David Brown,121196,148598,-27402,7.8,33,0.54
11/18/2024,Infrastructure,Cloud Migration,IT1005,Carol White,191994,168447,23547,7.6,19,-0.09
09/05/2024,Infrastructure,Customer Support Portal,IT1004,Carol White,479505,451693,27812,6.4,38,0.91
06/28/2024,Infrastructure,Develop CRM,IT1004,Alice Smith,496751,402793,93958,7.7,38,0.77
03/21/2024,Infrastructure,Data Warehouse,IT1003,Alice Smith,69610,217203,-147593,1.5,44,0.89
11/14/2024,Infrastructure,Security Audit,IT1004,Alice Smith,227718,185558,42160,4.6,27,-0.05
06/21/2024,Infrastructure,Upgrade Network,IT1003,David Brown,348326,374922,-26596,6.7,5,-0.12
12/20/2024,Infrastructure,Upgrade Network,IT1005,Eva Green,428280,419162,9118,2.7,23,0.13
08/11/2024,Infrastructure,Develop CRM,IT1004,Eva Green,390968,463159,-72191,2.8,27,0.14
11/22/2024,Infrastructure,Cloud Migration,IT1001,Carol White,387746,314349,73397,2.9,9,0.38
05/05/2024,Infrastructure,Develop CRM,IT1002,Eva Green,329143,368621,-39478,9.1,11,0.93
12/26/2024,Infrastructure,Upgrade Network,IT1002,Bob Johnson,204542,313836,-109294,5,12,0.92
11/01/2024,Infrastructure,Data Warehouse,IT1004,Carol White,253834,134837,118997,7.6,11,0.79
01/22/2024,Infrastructure,Security Audit,IT1003,Eva Green,284538,263068,21470,6.4,44,0.42
08/24/2024,Network,Security Audit,IT1003,David Brown,197745,59404,138341,8.2,43,-0.14
04/23/2024,Network,Develop CRM,IT1003,Eva Green,57415,140245,-82830,3.4,32,0.41
12/23/2024,Network,Customer Support Portal,IT1003,Alice Smith,296038,224099,71939,4.2,12,0.43
07/12/2024,Network,Cloud Migration,IT1002,Bob Johnson,218616,370714,-152098,2.7,33,-0.06
04/14/2024,Network,Customer Support Portal,IT1001,David Brown,397220,478051,-80831,8.4,12,0.74
05/30/2024,Network,Data Warehouse,IT1003,David Brown,496675,341494,155181,7.1,7,0.93
04/23/2024,Network,Cloud Migration,IT1001,Alice Smith,350546,429439,-78893,8.4,24,0.63
07/07/2024,Network,Data Warehouse,IT1004,Bob Johnson,207636,160318,47318,6.2,23,0.28
01/22/2024,Network,Customer Support Portal,IT1005,Eva Green,442573,410446,32127,8.4,45,0.65
06/01/2024,Network,Data Warehouse,IT1004,David Brown,470343,430452,39891,9,36,0.98
02/25/2024,Network,Upgrade Network,IT1002,Eva Green,186213,45750,140463,9.9,35,0.74
10/27/2024,Network,Upgrade Network,IT1001,Bob Johnson,78884,366075,-287191,3.6,29,0.27
08/21/2024,Network,Cloud Migration,IT1001,David Brown,65088,193561,-128473,3.3,14,0.46
04/27/2024,Network,Customer Support Portal,IT1004,Bob Johnson,228207,335158,-106951,3.9,21,0.87
10/06/2024,Network,Cloud Migration,IT1005,Eva Green,474097,157305,316792,6.3,28,-0.09
11/29/2024,Network,Data Warehouse,IT1003,Carol White,128077,495633,-367556,6.4,31,0.45
03/22/2024,Network,Develop CRM,IT1002,Eva Green,365018,240753,124265,4.9,27,0.53
06/02/2024,Network,Upgrade Network,IT1001,Eva Green,463089,175203,287886,5.5,12,0.79
11/23/2024,Network,Cloud Migration,IT1003,Alice Smith,396184,232003,164181,4.1,36,0.05
06/16/2024,Network,Security Audit,IT1002,David Brown,444754,189335,255419,5.7,26,-0.03
02/14/2024,Network,Upgrade Network,IT1003,Alice Smith,312318,215745,96573,7.1,3,0.86
08/27/2024,Network,Upgrade Network,IT1002,Alice Smith,385299,106983,278316,7,37,0.24
07/30/2024,Network,Upgrade Network,IT1001,Eva Green,338544,209302,129242,4.6,27,0.67
03/07/2024,Network,Data Warehouse,IT1002,Carol White,138791,325337,-186546,7.4,45,0.41
01/07/2024,Network,Data Warehouse,IT1001,Eva Green,237256,393561,-156305,1.1,6,-0.1
04/16/2024,Network,Security Audit,IT1001,Carol White,422047,170956,251091,1.8,4,-0.15
01/09/2024,Network,Security Audit,IT1003,Alice Smith,443605,110744,332861,5.9,48,0.66
01/21/2024,Network,Security Audit,IT1004,David Brown,287501,298135,-10634,1.9,22,0
04/24/2024,Network,Cloud Migration,IT1001,Eva Green,54986,159934,-104948,5,39,0.57
04/17/2024,Network,Security Audit,IT1001,Carol White,460051,141407,318644,3.9,34,0.98
03/28/2024,Network,Data Warehouse,IT1002,David Brown,141649,71379,70270,7.1,22,-0.19
06/12/2024,Network,Customer Support Portal,IT1001,Bob Johnson,486742,251144,235598,7.2,30,0.35
10/14/2024,Network,Data Warehouse,IT1001,Alice Smith,454470,157797,296673,5.5,31,0.36
04/06/2024,Network,Develop CRM,IT1002,Bob Johnson,349471,269602,79869,3.6,37,0.23
03/21/2024,Network,Data Warehouse,IT1003,Eva Green,379104,74700,304404,1.5,29,0.96
09/09/2024,Network,Upgrade Network,IT1003,Alice Smith,204692,111045,93647,6.7,34,0.1
06/27/2024,Network,Upgrade Network,IT1005,Alice Smith,168639,41881,126758,3.3,27,0.14
07/02/2024,Network,Upgrade Network,IT1005,Bob Johnson,434890,128059,306831,6.2,9,0.63
03/27/2024,Network,Security Audit,IT1004,Eva Green,451062,149388,301674,5.2,43,0.2
03/19/2024,Network,Customer Support Portal,IT1003,Alice Smith,96220,188303,-92083,2.7,8,0.33
08/10/2024,Network,Develop CRM,IT1005,Alice Smith,125277,121972,3305,3.8,3,-0.13
01/28/2024,Network,Develop CRM,IT1004,Alice Smith,374264,316223,58041,5.1,49,0.94
02/10/2024,Network,Data Warehouse,IT1005,Bob Johnson,334769,190872,143897,8.3,47,-0.06
12/17/2024,Network,Upgrade Network,IT1002,Bob Johnson,372854,373363,-509,4.5,36,-0.12
05/17/2024,Network,Upgrade Network,IT1002,Carol White,161541,194720,-33179,6.4,17,0.89
05/17/2024,Network,Security Audit,IT1002,Bob Johnson,111842,271075,-159233,6.2,16,0.54
02/24/2024,Network,Develop CRM,IT1001,Carol White,339134,40336,298798,8.2,16,-0.15
02/27/2024,Network,Cloud Migration,IT1005,Carol White,262802,222220,40582,3.7,5,0.77
01/12/2024,Network,Upgrade Network,IT1003,Eva Green,313450,239737,73713,4.9,36,-0.12
11/11/2024,Network,Customer Support Portal,IT1002,Alice Smith,480179,131911,348268,5.3,43,0.91
12/23/2024,Network,Data Warehouse,IT1005,Eva Green,236633,227723,8910,2.6,38,0.03
05/27/2024,Network,Cloud Migration,IT1001,Carol White,374404,373272,1132,7.5,49,0.39
09/07/2024,Network,Upgrade Network,IT1005,Bob Johnson,196510,401324,-204814,1.4,16,0.94
11/16/2024,Network,Data Warehouse,IT1003,David Brown,360586,354639,5947,4.6,3,0.26
06/28/2024,Network,Security Audit,IT1004,Carol White,415205,122806,292399,5.6,42,0.31
01/23/2024,Network,Security Audit,IT1003,Eva Green,446210,395329,50881,6.2,8,0.66
11/08/2024,Network,Develop CRM,IT1005,Bob Johnson,411719,440046,-28327,5.3,21,0.29
06/22/2024,Network,Customer Support Portal,IT1003,Carol White,299880,210591,89289,1.8,2,-0.17
03/03/2024,Network,Data Warehouse,IT1005,David Brown,325049,345239,-20190,8.4,38,0.74
09/12/2024,Network,Develop CRM,IT1005,Alice Smith,467567,112307,355260,6.3,37,0.76
02/29/2024,Network,Upgrade Network,IT1004,David Brown,386047,347576,38471,8.2,37,0.08
05/04/2024,Network,Customer Support Portal,IT1005,Carol White,232003,426607,-194604,9.6,22,0.75
08/19/2024,Network,Cloud Migration,IT1002,Eva Green,247467,240399,7068,1.7,32,0.1
11/21/2024,Network,Develop CRM,IT1004,Carol White,141176,221182,-80006,2.7,3,0.35
03/24/2024,Network,Security Audit,IT1001,Carol White,316161,466640,-150479,4.5,47,0.03
08/09/2024,Network,Upgrade Network,IT1001,Carol White,145667,474672,-329005,1.6,38,0.2
11/23/2024,Network,Develop CRM,IT1001,Alice Smith,103053,452676,-349623,3.7,44,0.23
06/14/2024,Network,Data Warehouse,IT1005,Alice Smith,231561,440983,-209422,1.7,18,0.64
09/05/2024,Network,Upgrade Network,IT1004,Eva Green,370815,282277,88538,4.2,37,-0.11
12/15/2024,Network,Develop CRM,IT1001,Alice Smith,448499,392754,55745,2.3,30,0.9
04/22/2024,Network,Data Warehouse,IT1005,Eva Green,486542,144135,342407,6,26,0.24
05/23/2024,Network,Data Warehouse,IT1005,Eva Green,422397,257314,165083,7,43,0.93
08/22/2024,Network,Security Audit,IT1001,Bob Johnson,313158,310304,2854,4.7,5,0.29
04/09/2024,Network,Develop CRM,IT1001,Bob Johnson,60103,214404,-154301,1.2,19,0.36
10/28/2024,Network,Cloud Migration,IT1004,Carol White,224875,182482,42393,2.6,19,0.1
10/28/2024,Network,Develop CRM,IT1001,Eva Green,404852,41051,363801,5.9,26,0.44
07/12/2024,Network,Customer Support Portal,IT1004,Eva Green,447674,268931,178743,9.9,38,0.44
01/16/2024,Network,Security Audit,IT1002,David Brown,228267,288088,-59821,4,43,0.25
04/30/2024,Network,Customer Support Portal,IT1005,Carol White,260124,226093,34031,2.3,31,0.77
01/10/2024,Network,Security Audit,IT1004,Eva Green,138835,342103,-203268,4.7,10,0.63
04/10/2024,Network,Data Warehouse,IT1002,David Brown,343851,415767,-71916,4.6,14,0.57
08/09/2024,Network,Upgrade Network,IT1004,Bob Johnson,145985,225889,-79904,2.9,42,0.75
02/10/2024,Network,Upgrade Network,IT1005,David Brown,379317,215595,163722,5.4,45,0.12
01/03/2024,Network,Develop CRM,IT1004,Alice Smith,337644,253175,84469,6.2,19,0.62
02/22/2024,Network,Upgrade Network,IT1005,Carol White,296404,43358,253046,2.5,14,0.83
02/01/2024,Network,Security Audit,IT1003,Carol White,150336,340679,-190343,5.2,47,-0.09
12/22/2024,Network,Develop CRM,IT1001,David Brown,197026,133079,63947,3.4,31,0.16
05/16/2024,Network,Customer Support Portal,IT1002,Carol White,394866,95805,299061,7.3,8,0.49
10/12/2024,Network,Security Audit,IT1001,Alice Smith,52187,327177,-274990,6.5,4,0.87
07/08/2024,Network,Develop CRM,IT1005,Eva Green,271135,256909,14226,3.8,41,0.25
07/24/2024,Network,Data Warehouse,IT1003,Carol White,73199,345808,-272609,8.3,20,0.83
01/01/2024,Network,Data Warehouse,IT1001,Alice Smith,422251,196177,226074,7.1,31,0.01
09/09/2024,Network,Upgrade Network,IT1002,Alice Smith,357086,345090,11996,6.8,2,0.99
03/19/2024,Network,Data Warehouse,IT1004,Bob Johnson,104935,131449,-26514,8,7,0.47
04/18/2024,Network,Customer Support Portal,IT1003,David Brown,320472,285920,34552,9.7,43,-0.2
05/09/2024,Network,Cloud Migration,IT1001,Bob Johnson,237125,60922,176203,4.6,7,0.08
03/17/2024,Network,Data Warehouse,IT1005,David Brown,170076,433258,-263182,8.9,26,0.93
10/21/2024,Network,Cloud Migration,IT1002,Carol White,173130,448222,-275092,8.2,13,-0.07
12/03/2024,Network,Data Warehouse,IT1002,Alice Smith,100940,84881,16059,8.8,6,0.06
03/28/2024,Network,Develop CRM,IT1003,Alice Smith,92056,402032,-309976,7.3,13,0.75
11/27/2024,Network,Data Warehouse,IT1001,Carol White,434092,219689,214403,8.9,38,0.92
08/27/2024,Network,Upgrade Network,IT1004,David Brown,283192,278245,4947,2.5,37,0.06
03/30/2024,Network,Develop CRM,IT1001,Carol White,230882,422829,-191947,5.6,49,0.29
12/05/2024,Network,Security Audit,IT1004,Alice Smith,119300,312137,-192837,7.4,44,0.88
03/17/2024,Network,Customer Support Portal,IT1004,Carol White,224514,318269,-93755,8.9,24,0.9
12/28/2024,Network,Upgrade Network,IT1005,Bob Johnson,257139,105333,151806,3.2,49,0.07
11/10/2024,Network,Upgrade Network,IT1005,Eva Green,87548,261604,-174056,1.1,39,0.55
07/19/2024,Network,Data Warehouse,IT1005,Eva Green,491153,296674,194479,9.8,22,0.89
12/13/2024,Network,Data Warehouse,IT1001,David Brown,476618,375064,101554,5.5,37,0.16
06/27/2024,Network,Cloud Migration,IT1003,Bob Johnson,183962,226304,-42342,6.8,31,0.72
02/19/2024,Network,Develop CRM,IT1005,Eva Green,433071,98829,334242,3.3,22,0.05
10/21/2024,Network,Security Audit,IT1003,Bob Johnson,320170,381180,-61010,7.8,12,0.19
09/16/2024,Network,Cloud Migration,IT1004,Bob Johnson,490880,52306,438574,9.3,32,-0.02
10/10/2024,Network,Data Warehouse,IT1004,Alice Smith,381119,102780,278339,5.6,38,-0.14
10/10/2024,Network,Cloud Migration,IT1002,Eva Green,332140,361852,-29712,2.7,3,0.01
06/02/2024,Network,Develop CRM,IT1001,Alice Smith,85931,261487,-175556,8.2,7,0.54
02/19/2024,Network,Cloud Migration,IT1005,David Brown,274655,109443,165212,1.1,20,-0.15
02/20/2024,Network,Customer Support Portal,IT1003,Alice Smith,435827,233725,202102,7.8,31,-0.09
11/07/2024,Network,Develop CRM,IT1002,Eva Green,240121,184670,55451,1.1,21,0.17
05/18/2024,Network,Customer Support Portal,IT1003,Eva Green,322769,302257,20512,2.7,14,0.7
08/17/2024,Network,Upgrade Network,IT1004,Alice Smith,160986,156258,4728,8.9,47,0.23
04/23/2024,Network,Customer Support Portal,IT1005,Eva Green,293056,349281,-56225,8,16,0.81
04/28/2024,Network,Security Audit,IT1004,Carol White,162701,333924,-171223,6.7,6,0.59
08/19/2024,Network,Security Audit,IT1003,Carol White,324370,211389,112981,5.9,19,0.46
06/02/2024,Network,Cloud Migration,IT1003,Bob Johnson,311497,350444,-38947,5.6,27,0.92
08/22/2024,Network,Develop CRM,IT1002,Alice Smith,115133,107229,7904,7.9,19,0.8
08/21/2024,Network,Upgrade Network,IT1005,Carol White,495414,343391,152023,3.6,26,-0.16
01/15/2024,Network,Security Audit,IT1005,Carol White,467247,477182,-9935,4.5,24,0.09
01/25/2024,Network,Customer Support Portal,IT1002,Bob Johnson,175814,90599,85215,5.9,44,-0.1
01/03/2024,Network,Security Audit,IT1003,Bob Johnson,203939,179651,24288,8.2,20,0.55
02/20/2024,Network,Customer Support Portal,IT1001,David Brown,341207,354410,-13203,5.9,24,0.72
01/08/2024,Network,Data Warehouse,IT1004,David Brown,286094,174794,111300,4.7,40,0.44
02/26/2024,Network,Cloud Migration,IT1004,Eva Green,206255,200307,5948,9.6,34,0.1
04/18/2024,Network,Upgrade Network,IT1004,David Brown,397823,432244,-34421,2.3,36,0.09
11/07/2024,Network,Cloud Migration,IT1001,Carol White,445319,480999,-35680,9.8,21,0.7
02/28/2024,Network,Data Warehouse,IT1001,Carol White,231429,96635,134794,6.7,36,0.33
07/20/2024,Network,Customer Support Portal,IT1004,Carol White,125403,235984,-110581,8.3,36,0.45
02/06/2024,Network,Security Audit,IT1002,David Brown,493842,118537,375305,6.4,42,0.26
01/06/2024,Network,Develop CRM,IT1004,Bob Johnson,318788,106253,212535,1.7,35,-0.04
09/27/2024,Network,Data Warehouse,IT1001,Bob Johnson,476149,131128,345021,3.7,16,-0.16
10/02/2024,Network,Cloud Migration,IT1004,Carol White,460591,475288,-14697,3.8,32,0.55
06/29/2024,Network,Data Warehouse,IT1001,Eva Green,217679,329298,-111619,9.7,30,0.02
12/29/2024,Network,Security Audit,IT1005,Alice Smith,146393,302916,-156523,2.5,25,0.38
01/25/2024,Network,Upgrade Network,IT1002,Eva Green,439458,455300,-15842,9.2,46,0.58
08/14/2024,Network,Develop CRM,IT1003,Alice Smith,265250,218296,46954,5.2,9,0.51
04/11/2024,Network,Customer Support Portal,IT1003,Bob Johnson,61094,298009,-236915,3,21,0.8
01/13/2024,Network,Upgrade Network,IT1004,Eva Green,317885,312554,5331,4.8,20,0.87
10/31/2024,Network,Cloud Migration,IT1005,Bob Johnson,428170,226098,202072,5.4,44,0.54
12/17/2024,Network,Develop CRM,IT1005,Alice Smith,216667,326058,-109391,7.9,40,0.09
08/31/2024,Network,Develop CRM,IT1002,Bob Johnson,129768,146078,-16310,8.1,16,0.03
09/21/2024,Network,Security Audit,IT1001,Bob Johnson,375329,176949,198380,7.1,45,0.44
05/17/2024,Network,Upgrade Network,IT1002,Alice Smith,228646,497353,-268707,7.7,21,0.29
11/03/2024,Network,Customer Support Portal,IT1001,Bob Johnson,89104,401659,-312555,4.8,19,0.6
12/09/2024,Network,Develop CRM,IT1005,Eva Green,422828,60855,361973,2.9,13,0.7
04/19/2024,Network,Data Warehouse,IT1001,David Brown,324336,92003,232333,6,26,0.87
10/10/2024,Security,Cloud Migration,IT1005,Alice Smith,421994,368821,53173,2.9,41,-0.01
03/18/2024,Security,Security Audit,IT1004,Eva Green,327667,239298,88369,5,4,0.11
01/13/2024,Security,Cloud Migration,IT1002,Eva Green,112433,488843,-376410,4,6,0.39
12/25/2024,Security,Cloud Migration,IT1002,Eva Green,490284,436471,53813,4.6,27,0.29
01/08/2024,Security,Security Audit,IT1001,David Brown,397139,142412,254727,6.1,11,-0.03
10/19/2024,Security,Develop CRM,IT1004,Eva Green,261509,341193,-79684,3.7,13,0.16
01/03/2024,Security,Security Audit,IT1004,Alice Smith,346292,388237,-41945,3.1,8,-0.04
07/20/2024,Security,Develop CRM,IT1004,Carol White,238799,65517,173282,4.6,28,-0.01
11/21/2024,Security,Customer Support Portal,IT1004,Alice Smith,387859,466111,-78252,7,3,-0.11
03/01/2024,Security,Customer Support Portal,IT1002,Bob Johnson,161435,474282,-312847,1.7,21,0.28
02/04/2024,Security,Develop CRM,IT1005,Alice Smith,459805,417214,42591,7.2,49,0.76
11/20/2024,Security,Security Audit,IT1005,Carol White,322872,313943,8929,5.2,4,0.81
07/15/2024,Security,Cloud Migration,IT1001,Carol White,407246,392365,14881,1.1,30,0.4
03/31/2024,Security,Cloud Migration,IT1004,David Brown,332727,327623,5104,3.3,34,-0.08
01/22/2024,Security,Customer Support Portal,IT1004,Alice Smith,135774,429388,-293614,1.3,39,0.16
05/12/2024,Security,Data Warehouse,IT1003,Bob Johnson,438518,95863,342655,4.8,28,0.22
01/10/2024,Security,Upgrade Network,IT1005,Carol White,116216,296969,-180753,1.8,19,0.71
05/26/2024,Security,Data Warehouse,IT1005,David Brown,71644,296398,-224754,9.3,36,0.48
08/15/2024,Security,Security Audit,IT1001,Carol White,112021,290369,-178348,4.7,32,0.84
09/22/2024,Security,Cloud Migration,IT1003,Eva Green,92291,264597,-172306,7.4,40,0.96
08/06/2024,Security,Security Audit,IT1004,Alice Smith,479392,117694,361698,7.3,44,0.27
02/26/2024,Security,Customer Support Portal,IT1002,Carol White,142268,379150,-236882,9.5,19,0.22
10/19/2024,Security,Upgrade Network,IT1002,David Brown,356958,406957,-49999,6.7,35,0.38
05/15/2024,Security,Cloud Migration,IT1002,Eva Green,251554,230359,21195,2.2,7,0.23
05/15/2024,Security,Security Audit,IT1005,Carol White,316317,250747,65570,6.8,6,0.13
04/30/2024,Security,Develop CRM,IT1002,Bob Johnson,421513,217597,203916,1.9,47,0.92
09/07/2024,Security,Security Audit,IT1005,Bob Johnson,411447,335599,75848,4.4,32,0.45
10/05/2024,Security,Security Audit,IT1001,David Brown,233887,180558,53329,9.9,27,0.1
10/21/2024,Security,Cloud Migration,IT1005,Eva Green,171950,296000,-124050,8.3,9,0.13
06/25/2024,Security,Customer Support Portal,IT1003,David Brown,175355,483960,-308605,3.8,8,0.52
04/20/2024,Security,Upgrade Network,IT1003,Eva Green,460482,276500,183982,2.2,21,0.48
08/20/2024,Security,Security Audit,IT1005,Bob Johnson,439959,316175,123784,6.2,32,0.45
01/30/2024,Security,Cloud Migration,IT1003,Carol White,384971,325713,59258,6.6,46,0.4
09/27/2024,Security,Cloud Migration,IT1001,Eva Green,295300,72954,222346,2,42,0.89
04/13/2024,Security,Cloud Migration,IT1001,Eva Green,285419,318932,-33513,3.1,15,-0.17
09/06/2024,Security,Upgrade Network,IT1002,Eva Green,131938,384846,-252908,6.5,44,-0.09
12/04/2024,Security,Develop CRM,IT1001,Eva Green,267813,272933,-5120,9.1,29,0.3
08/28/2024,Security,Upgrade Network,IT1002,Alice Smith,358307,463573,-105266,7.3,43,0.83
08/26/2024,Security,Develop CRM,IT1005,Carol White,488486,425243,63243,1.2,47,0.85
